	fullname	id	likes	replies	retweets	text	timestamp	url	user	sentiment score
33	Exprules gaming	909567625608523776	0	0	0	I liked a @YouTube video http://youtu.be/lLAoYb4Vc_Y?a  Garry's Mod Deathrun Funny Moments! - MEME FACTORY! (Boneless Pizza, Trump, Shrek	2017-09-17 23:59:55	/xprules29/status/909567625608523776	xprules29	0.39687500000000003
34	mexicalirose aka stable genius	909567625570787328	0	1	0	Butts don't swing golf clubs. I mean assholes do...at Trump golf courses.	2017-09-17 23:59:55	/gman_mish/status/909567625570787328	gman_mish	-0.3125
35	Anne-MAGA Illinois  🇺🇸	909567625335853056	6	0	4	pic.twitter.com/5hPvz4gP7F	2017-09-17 23:59:55	/AIllinoi/status/909567625335853056	AIllinoi	0.0
36	JR	909567622441783296	0	5	0	Do you think an actor who voted for Trump might similarly find it hard to get a job in Hollywood?	2017-09-17 23:59:54	/everlong554/status/909567622441783296	everlong554	-0.14583333333333334
37	Sheila Pettiford	954141350856978432	0	0	0	Everything he’s saying about Trump, he’s proven more and more Trump doesn’t have what it takes to be president. That he’s easily swayed by the way you treat him. He’s worse than a woman when it’s her time of the month. https://twitter.com/politicussarah/status/954059674374037504 …	2018-01-18 23:59:59	/SheilaPettifor2/status/954141350856978432	SheilaPettifor2	0.2583333333333333
38	P. B.	954141349212811264	0	0	0	28m adults in Canada.   So 5.6 millions Canadian and 100 million American approve of Trump.  Something to think about...	2018-01-18 23:59:59	/pbernier2011/status/954141349212811264	pbernier2011	0.0
39	Sheldon Kaufman	954141348814360576	1	0	0	"@georgiegirl1216 
Tim Cook's desire to ""Help America"" seems to coincide with the tax advantages Trump engineered."	2018-01-18 23:59:59	/SheldonKaufman/status/954141348814360582	SheldonKaufman	0.0
40	Crystal	954141348071866368	3	3	0	The people who stood behind trump November 8th 2016 will stand behind him again in 2020. No video of rural Americans talking down on him or voicing concerns will change that. Keep trying #FakeNews 	2018-01-18 23:59:59	/CrystalNicole_1/status/954141348071866370	CrystalNicole_1	-0.2388888888888889
41	Linda garris	954141347258294272	0	0	0	"President Trump you make me smile 
Ive been disgusted w govt since Clinton won
Now we have a POTUS who cares abt us& has a sense of humor
I  fake news awards- thank you"	2018-01-18 23:59:58	/linda_garris/status/954141347258294273	linda_garris	-0.39999999999999997
42	David C Heyerman	954141345643347968	7	2	0	You know Trump colluded and I know it; damn the evidence!	2018-01-18 23:59:58	/DHeyerman/status/954141345643347968	DHeyerman	0.0
43	mike mikovich	954141344758484992	0	0	0	Trump and all of us are laughing at you. We are keeping out anti americans like you so #packyourshit and stay in Canada ... butt out of America :)	2018-01-18 23:59:58	/mikemikovich/status/954141344758484994	mikemikovich	0.5
44	Bobby B	954141344594771968	0	0	0	Please enlighten us on the Trump family tree and his meritorious grandfather? And Melania’s so-called ingress into the country was…?	2018-01-18 23:59:58	/BobbyBenveniste/status/954141344594771968	BobbyBenveniste	0.0
45	//Seadog//	954141342581559296	0	0	0	Inside Judicial Watch: The Truth Behind Fusion GPS & The Trump Dossier https://youtu.be/XMTTbRIvMVk  via @YouTube	2018-01-18 23:59:57	/jameswhelms/status/954141342581559298	jameswhelms	-0.4
46	DR JAMES A, PHD 🔵 ⚖ 🕵	954141341885386752	3	1	2	"FAKE NEWS ALERT
MSM reports Stormy Daniels affair was 4 months after Barron Trump born -3/20/06
MSM says Trump asked her to spank him with a Forbes mag w/Ivanka's pic on it. This is the 10/9/06 edition of Forbes. 
THAT'S THREE MONTHS AFTER MSM CLAIMS THE AFFAIR OCCURRED pic.twitter.com/n4Gp5rzp9S"	2018-01-18 23:59:57	/DoRtChristians/status/954141341885386753	DoRtChristians	-0.5
47	GAGirl1967 Release The Memo	954141339935010816	0	0	0	I guess now all We can do is hope trump vetoed it.  I won’t hold my breath.	2018-01-18 23:59:57	/Tamaraw68415067/status/954141339935010816	Tamaraw68415067	0.0
